,name,dept
298,EEMT 5360 - IT System for Global Enterprise (3 units),EEMT
299,"EEMT 5500 - Applied Probability, Statistics and Data Analytics (3 units)",EEMT
300,EEMT 5510 - Engineering Economics and Cost Management (3 units),EEMT
301,EEMT 5990 - Problem Solving for Engineering Managers (1 unit),EEMT
302,EEMT 6900 - Independent Study (3 units),EEMT
303,EESM 5000 - CMOS VLSI Design (3 units),EESM
304,EESM 5060 - Embedded Systems (3 units),EESM
305,EESM 5100 - Analog IC Analysis and Design (3 units),EESM
306,EESM 5200 - Semiconductor Devices for Integrated Circuit Designs (3 units),EESM
307,EESM 5515 - IP Networks (3 units),EESM
308,EESM 5536 - Digital Communications (3 units),EESM
309,EESM 5539 - Wireless Communication Networks (3 units),EESM
310,EESM 5620 - Flat Panel Displays (3 units),EESM
311,EESM 5650 - Digital Communication Networks and Systems (3 units),EESM
312,EESM 5770 - Engineering Research and Career Development (3 units),EESM
313,EESM 5900I - CMOS VLSI Design Methodology (3 units),EESM
314,EESM 5910 - Topics in Telecommunications and Network Convergence (3 units),EESM
315,EESM 6900 - Independent Study (3 units),EESM
316,EESM 6980G - MSc Project (3 units),EESM
317,EESM 6980H - MSc Project (3 units),EESM
318,ELEC 1010 - Electronic and Information Technology (3 units),ELEC
319,ELEC 1100 - Introduction to Electro-Robot Design (4 units),ELEC
320,ELEC 1200 - A System View of Communications: from Signals to Packets (4 units),ELEC
321,ELEC 2100 - Signals and Systems (4 units),ELEC
322,ELEC 2350 - Introduction to Computer Organization and Design (4 units),ELEC
323,ELEC 2400 - Electronic Circuits (4 units),ELEC
324,ELEC 2420 - Basic Electronics (3 units),ELEC
325,ELEC 2600 - Probability and Random Processes in Engineering (4 units),ELEC
326,ELEC 2600H - Honors Probability and Random Processes in Engineering (4 units),ELEC
327,ELEC 2910 - Academic and Professional Development I (0 units),ELEC
328,ELEC 2991 - Industrial Experience (Electronic Engineering) (0 units),ELEC
329,ELEC 3120 - Computer Communication Networks (3 units),ELEC
330,"ELEC 3200 - System Modeling, Analysis and Control (4 units)",ELEC
331,ELEC 3210 - Machine Learning and Information Processing for Robotics (3 units),ELEC
332,ELEC 3300 - Introduction to Embedded Systems (4 units),ELEC
333,ELEC 3310 - Digital Fundamentals and System Design (4 units),ELEC
334,ELEC 3400 - Introduction to Integrated Circuits and Systems (4 units),ELEC
335,ELEC 3500 - Microelectronic Devices and Technology (4 units),ELEC
336,ELEC 3910 - Academic and Professional Development II (0 units),ELEC
337,ELEC 4110 - Digital Communications and Wireless Systems (3 units),ELEC
338,ELEC 4150 - Information Theory and Error-Correcting Codes (3 units),ELEC
339,ELEC 4240 - Deep Learning in Computer Vision (3 units),ELEC
340,ELEC 4320 - FPGA-based Design: From Theory to Practice (3 units),ELEC
341,ELEC 4410 - CMOS VLSI Design (3 units),ELEC
342,ELEC 4620 - Photonics and Optical Communications (4 units),ELEC
343,ELEC 4810 - Introduction to Biosensors and Bioinstrumentation (4 units),ELEC
344,ELEC 4900 - Final Year Design Project (6 units),ELEC
345,ELEC 4901 - Final Year Thesis (6 units),ELEC
346,ELEC 4910 - Co-op Program (6 units),ELEC
347,ELEC 4940C - Independent Study (1 unit),ELEC
348,ELEC 5010 - Introduction to the Design & Implementation of Micro-Systems (3 units),ELEC
349,ELEC 5040 - Advanced Analog IC Analysis and Design (3 units),ELEC
350,ELEC 5050 - Advanced CMOS Devices (3 units),ELEC
351,ELEC 5070 - Microelectronics Fabrication Technology (3 units),ELEC
352,ELEC 5110 - Nanoelectronic Materials for Energy Technologies (3 units),ELEC
353,ELEC 5180 - RF/Microwave Circuit Design and Measurement (4 units),ELEC
354,ELEC 5300 - Stochastic Processes (3 units),ELEC
355,ELEC 5470 - Convex Optimization (3 units),ELEC
356,ELEC 5540 - High Tech Innovation and Entrepreneurship (3 units),ELEC
357,ELEC 5600 - Linear-System Theory (3 units),ELEC
358,ELEC 6770 - Professional Development in Electronic and Computer Engineering (1 unit),ELEC
359,ELEC 6950A - Departmental Seminar (0 units),ELEC
360,ELEC 6950B - Departmental Seminar (0 units),ELEC
363,EMBA 5070 - Statistical Decision Analysis (1 unit),EMBA
364,EMBA 5760 - Technology Strategy: FinTech and Big Data Analytics (1 unit),EMBA
365,ENEG 2990 - Academic and Professional Development I (0 units),ENEG
366,ENEG 3910 - Sustainable Energy Laboratory (3 units),ENEG
367,ENEG 4920 - Final Year Design Project (6 units),ENEG
368,ENEG 4990 - Academic and Professional Development II (0 units),ENEG
369,ENEG 5200 - Nanoelectronic Materials for Energy Technologies (3 units),ENEG
370,ENEG 6010 - Advanced Topics in Energy Technology (0 units),ENEG
371,ENGG 1010 - Academic Orientation (0 units),ENGG
372,ENGG 1100 - First Year Cornerstone Engineering Design Project Course (3 units),ENGG
373,"ENGG 1150 - Information Technology Revolution: Past, Present and Future (3 units)",ENGG
374,ENGG 1300 - Design Thinking for Health Innovation (3 units),ENGG
375,ENGG 2010 - Engineering Seminar Series (0 units),ENGG
376,ENGG 2900A - Community Services Project: Developing Leadership Through Service Learning (2 units),ENGG
377,ENGG 4901 - Integrated Final Year Project - First Major (3 units),ENGG
378,ENGG 4902 - Integrated Final Year Project - Second Major (3 units),ENGG
379,ENGG 4903 - Integrated Final Year Thesis - First Major (3 units),ENGG
380,ENGG 4904 - Integrated Final Year Thesis - Second Major (3 units),ENGG
381,ENGG 6780 - Career Development for Engineering Research Students (1 unit),ENGG
382,ENTR 1001 - Entrepreneurship 1001: Building Your Own Future (3 units),ENTR
383,ENTR 2010 - Entrepreneurship Mentorship and Readings (1 unit),ENTR
384,ENTR 3100 - Industrial Landscape: Understanding the Elements to Start a Business (3 units),ENTR
385,ENTR 4901P - Student-led Entrepreneurship Acceleration Project (1 unit),ENTR
386,ENTR 4903P - Student-led Entrepreneurship Acceleration Project (3 units),ENTR
387,ENTR 4911 - IT Entrepreneurship (3 units),ENTR
388,ENVR 1001 - EVMT Orientation (0 units),ENVR
389,ENVR 1070 - Thinking Big: Systems Thinking for Environmental Problems (3 units),ENVR
390,ENVR 1150 - Climate Change Impacts and Extreme Weather Events (3 units),ENVR
391,ENVR 2001 - Academic and Professional Development I (1 unit),ENVR
392,ENVR 2010 - Environmental Science Fundamentals (3 units),ENVR
393,ENVR 2020 - Urban Air Pollution (3 units),ENVR
394,ENVR 2030 - Material and Energy Balance for Environmental Management (3 units),ENVR
395,ENVR 2310 - Introductory Environmental and Health Economics (3 units),ENVR
396,ENVR 3001 - Academic and Professional Development II (1 unit),ENVR
397,ENVR 3004 - Life Cycle Assessment (3 units),ENVR
398,ENVR 3110 - Sustainable Development (3 units),ENVR
399,ENVR 3220 - Energy Sources and Usage (3 units),ENVR
400,ENVR 3420 - Environmental Law and Regulations (3 units),ENVR
401,ENVR 4001 - Academic and Professional Development III (1 unit),ENVR
402,ENVR 4320 - ESG Management and Reporting (3 units),ENVR
403,ENVR 4980 - Environmental Management and Technology Capstone Project I (3 units),ENVR
404,ENVR 5260 - Environmental Policy and Management (3 units),ENVR
405,ENVR 5310 - Atmospheric Dynamics (3 units),ENVR
406,ENVR 5340 - Fundamentals of Sustainability Science and Technology (3 units),ENVR
407,"ENVR 5380 - The Circular Economy – Institutions, Stakeholders and Modes of Implementation (3 units)",ENVR
408,ENVR 6050 - Introduction to Oceanography (3 units),ENVR
409,ENVR 6100C - Independent Study (3 units),ENVR
410,"ENVR 6770 - Professional Development in Environmental Science, Policy and Management (1 unit)",ENVR
413,ENVS 3005 - Environmental Microbiology (3 units),ENVS
414,ENVS 4001 - Environmental Impact and Risk Assessment (3 units),ENVS
415,ENVS 4964 - Environmental Science Capstone Project Research (3 units),ENVS
416,ENVS 4974 - Environmental Science Project Research I (3 units),ENVS
417,ENVS 5111 - Environmental Health (3 units),ENVS
418,ENVS 5112 - Environmental Hazards (3 units),ENVS
419,ENVS 5113 - Marine Ecotoxicology (3 units),ENVS
420,ENVS 5114 - Environmental Diseases and Microbiology (3 units),ENVS
421,ENVS 5118 - Conservation and Sustainable Development (3 units),ENVS
422,ENVS 6011Q - Postgraduate Seminar (1 unit),ENVS
423,ENVS 6111A - Environmental Health Research Project (3 units),ENVS
424,ENVS 6111B - Environmental Health Research Project (6 units),ENVS
429,EVNG 6050T - Environmental Engineering Seminar (0 units),EVNG
432,EVSM 5220 - Advanced Environmental Chemistry (3 units),EVSM
433,EVSM 5230 - Environmental Health and Management (3 units),EVSM
434,EVSM 5240 - GIS for Environmental Professionals (3 units),EVSM
435,EVSM 6950A - MSc Project (3 units),EVSM
436,EVSM 6950B - MSc Project (3 units),EVSM
437,FINA 1303 - Introduction to Financial Markets (3 units),FINA
438,FINA 2101 - Introduction to Finance (1 unit),FINA
439,FINA 2203 - Fundamentals of Business Finance (3 units),FINA
440,FINA 2303 - Financial Management (3 units),FINA
441,FINA 3001 - Key Skills for Finance Professionals (A) (1 unit),FINA
442,FINA 3103 - Intermediate Investments (3 units),FINA
443,FINA 3203 - Derivative Securities (3 units),FINA
444,FINA 3303 - Intermediate Corporate Finance (3 units),FINA
445,FINA 3810 - Bloomberg Market Concepts Certification (0 units),FINA
446,FINA 3820 - Thomson Reuters Certification Program (0 units),FINA
447,FINA 4013 - Corporate Valuation (3 units),FINA
448,FINA 4403 - International Finance (3 units),FINA
449,FINA 4929M - Central Bank Operations (3 units),FINA
450,FINA 4929N - Family Business (3 units),FINA
451,FINA 5110 - Central Bank Operations (2 units),FINA
452,FINA 5120 - Corporate Finance (2 units),FINA
453,FINA 5140 - Advanced Topics in Financial Management (2 units),FINA
454,FINA 5190 - Family Business (2 units),FINA
455,FINA 5210 - Investment Analysis (2 units),FINA
456,FINA 5240 - FinTech Analytics (2 units),FINA
457,FINA 5250 - Empirical Methods in Finance (2 units),FINA
458,FINA 5290 - Derivatives Analysis (2 units),FINA
459,FINA 5370 - Equity Valuation (2 units),FINA
460,FINA 5440 - Risk Management for Financial Institutions (2 units),FINA
461,"FINA 5470 - Mergers, Acquisitions and Restructuring (2 units)",FINA
